StudentID,Name,AcademicInterest,ExtracurricularActivities,Skillset 1,Skillset 2,Skillset 3,Skillset 4,Skillset 5,Location,YearOfStudy,Major,GPA,Language Known 1,Language Known 2,Language Known 3,Language Known 4,Language Known 5,ResearchInterests,Attendance
62,Breanna Smith,Biology,Volunteer Group,Public Speaking, Programming, Leadership, Problem Solving, Artistic,Houston,Junior,History,2.83,Spanish,Null,Null,Null,Null,Blockchain Technology,1.0
63,Charles Hunter,History,Sports Team,Leadership, Artistic, Data Analysis,Null,Null,New York,Junior,Physics,3.63,Spanish, German, Chinese, Japanese,Null,Robotics,85.0
64,Michael Price,Computer Science,Debate Club,Data Analysis, Artistic, Leadership, Programming, Problem Solving,Chicago,Graduate,Computer Science,3.14,Japanese, French, German, Chinese, English,Cognitive Psychology,30.0
65,Scott Adams,Computer Science,Music Club,Programming,Null,Null,Null,Null,New York,Senior,Psychology,3.82,Chinese, Japanese, German, English,Null,Educational Technology,92.0
66,Logan Greene,History,Debate Club,Artistic, Problem Solving, Public Speaking, Programming,Null,New York,Sophomore,Psychology,2.91,Chinese, German,Null,Null,Null,Political Science,3.0
67,James Walker,Psychology,Coding Club,Programming, Data Analysis,Null,Null,Null,New York,Sophomore,Biology,2.34,Spanish, English, French, Chinese, German,Machine Learning,19.0
68,Charles Thomas,History,Art Club,Programming,Null,Null,Null,Null,Los Angeles,Graduate,Psychology,3.43,German, Spanish, French, Japanese, English,Behavioral Economics,63.0
69,James Martin,Mathematics,Coding Club,Problem Solving, Leadership, Public Speaking,Null,Null,Chicago,Freshman,Physics,2.53,Spanish, German, English,Null,Null,Bioinformatics,8.0
70,Melissa Gutierrez,Psychology,Music Club,Programming, Public Speaking, Leadership, Data Analysis, Problem Solving,Chicago,Freshman,History,3.31,German, French, English, Japanese, Spanish,Space Exploration,51.0
71,Benjamin Richardson,Computer Science,Volunteer Group,Data Analysis, Programming, Problem Solving, Leadership, Public Speaking,Chicago,Sophomore,Biology,2.71,Chinese, Japanese, French, English, Spanish,Machine Learning,11.0
72,Paige Martin,Physics,Volunteer Group,Programming,Null,Null,Null,Null,Chicago,Sophomore,Biology,3.56,English,Null,Null,Null,Null,Behavioral Economics,65.0
73,Stacy Hardin,Computer Science,Coding Club,Leadership, Data Analysis, Problem Solving, Programming, Public Speaking,Boston,Graduate,Physics,2.42,Japanese, French,Null,Null,Null,Urban Planning,5.0
74,Dawn Smith,Biology,Volunteer Group,Artistic,Null,Null,Null,Null,Houston,Freshman,Computer Science,3.68,French, German, Japanese,Null,Null,Biomedical Engineering,78.0
75,Marc Guzman,History,Music Club,Data Analysis, Problem Solving, Artistic, Programming, Leadership,New York,Senior,Psychology,2.88,French, Japanese,Null,Null,Null,Machine Learning,14.0
76,Catherine Parrish,Biology,Debate Club,Artistic, Programming, Leadership, Data Analysis, Public Speaking,Los Angeles,Senior,History,3.9,Chinese,Null,Null,Null,Null,Artificial Intelligence,97.0
77,Patricia Montes,Mathematics,Debate Club,Problem Solving, Programming, Artistic,Null,Null,San Francisco,Senior,Physics,2.65,Spanish, German, French, Japanese, English,Cognitive Psychology,20.0
78,Priscilla Sutton,Computer Science,Debate Club,Leadership, Public Speaking, Data Analysis,Null,Null,Houston,Junior,Mathematics,3.62,French, English, Spanish, Chinese, German,Quantum Computing,71.0
79,Molly Johnson,Psychology,Volunteer Group,Artistic, Public Speaking, Data Analysis, Programming, Leadership,Houston,Junior,Mathematics,3.16,German, Chinese,Null,Null,Null,Educational Technology,35.0
80,Carol Estrada,Mathematics,Sports Team,Programming,Null,Null,Null,Null,Chicago,Senior,Psychology,2.88,French, English, Spanish, German,Null,Quantum Computing,3.0
81,Tyler Jordan,Biology,Volunteer Group,Data Analysis, Programming, Problem Solving,Null,Null,Los Angeles,Junior,History,2.94,French, Chinese, English, Japanese,Null,Educational Technology,9.0
82,Jason Pierce,Psychology,Art Club,Programming, Data Analysis, Problem Solving, Artistic,Null,San Francisco,Senior,Mathematics,3.15,German, French, Spanish, Chinese,Null,Robotics,34.0
83,Susan Johnson,Physics,Art Club,Artistic, Leadership, Data Analysis,Null,Null,Los Angeles,Senior,Computer Science,2.69,Spanish, Japanese, French,Null,Null,Artificial Intelligence,1.0
84,Bradley King,Biology,Debate Club,Leadership, Problem Solving, Programming, Public Speaking,Null,San Francisco,Freshman,Physics,2.25,English,Null,Null,Null,Null,Artificial Intelligence,3.0
85,James Daniels,Psychology,Coding Club,Artistic, Programming, Leadership, Public Speaking,Null,Houston,Senior,Biology,2.14,Japanese, Chinese,Null,Null,Null,Urban Planning,24.0
86,Jessica Riley,History,Debate Club,Artistic, Data Analysis, Public Speaking,Null,Null,Boston,Junior,History,3.69,French, English, Chinese, German,Null,Artificial Intelligence,76.0
87,Jacqueline Burke,Psychology,Art Club,Data Analysis, Leadership, Programming, Problem Solving, Public Speaking,Boston,Junior,Mathematics,2.11,German, Chinese, Spanish,Null,Null,Social Sciences,15.0
88,Kyle Wong,Biology,Art Club,Programming, Data Analysis,Null,Null,Null,New York,Graduate,Computer Science,3.0,German, Japanese, French, Spanish, English,Human-Computer Interaction,3.0
89,Joanne Bradley,History,Art Club,Artistic, Data Analysis,Null,Null,Null,Chicago,Freshman,Mathematics,2.58,English, French, Chinese,Null,Null,Data Science,7.0
90,Amanda Patton,Physics,Music Club,Programming, Leadership, Public Speaking, Artistic, Problem Solving,Los Angeles,Senior,Psychology,3.73,French, Japanese, English, German, Spanish,Sustainable Agriculture,71.0
91,Joshua Jacobs,Psychology,Volunteer Group,Artistic, Leadership, Programming, Problem Solving,Null,Los Angeles,Senior,Computer Science,3.27,Spanish, German, Chinese, English, Japanese,Blockchain Technology,54.0
92,Robert Singh,Biology,Music Club,Problem Solving, Leadership, Artistic, Public Speaking, Data Analysis,Boston,Senior,Physics,3.71,German,Null,Null,Null,Null,Bioinformatics,76.0
93,Lindsay Smith,Physics,Art Club,Data Analysis,Null,Null,Null,Null,Boston,Senior,Mathematics,2.03,French, Chinese,Null,Null,Null,Sustainable Agriculture,19.0
94,Kara Martin,History,Sports Team,Leadership,Null,Null,Null,Null,San Francisco,Sophomore,Computer Science,2.15,English, Chinese, German, Japanese, French,Bioinformatics,11.0
95,Amy Thompson,Psychology,Volunteer Group,Programming, Leadership, Problem Solving, Data Analysis,Null,New York,Senior,Physics,3.04,German, French, Chinese, Japanese, English,Biomedical Engineering,31.0
96,Bradley Moore,Computer Science,Art Club,Data Analysis,Null,Null,Null,Null,Chicago,Sophomore,History,2.8,English, Japanese, Chinese,Null,Null,Climate Change,21.0
97,Jenna Knox,History,Music Club,Artistic, Data Analysis,Null,Null,Null,San Francisco,Junior,Biology,2.66,English, French, Japanese, German, Chinese,Renewable Energy,15.0
98,Jose Meyer,Mathematics,Coding Club,Data Analysis,Null,Null,Null,Null,San Francisco,Senior,Biology,2.25,Chinese, Spanish,Null,Null,Null,Quantum Computing,3.0
99,Nicholas Johnson,History,Debate Club,Leadership, Programming, Data Analysis, Public Speaking, Artistic,Chicago,Senior,History,2.94,Chinese, Spanish, German,Null,Null,Renewable Energy,9.0
100,William Ramos,Physics,Music Club,Public Speaking, Leadership, Artistic, Programming, Problem Solving,San Francisco,Senior,Psychology,2.67,Spanish, French, Chinese,Null,Null,Biomedical Engineering,15.0
101,Kathleen Combs,Biology,Coding Club,Data Analysis, Problem Solving, Artistic, Programming, Public Speaking,New York,Sophomore,Biology,3.98,English, Chinese, French,Null,Null,Sustainable Agriculture,89.0
102,Megan Hernandez,Physics,Music Club,Leadership, Programming, Data Analysis, Public Speaking,Null,San Francisco,Sophomore,Biology,3.52,German, French, Japanese,Null,Null,Social Sciences,59.0
103,Patricia Carrillo,Biology,Debate Club,Public Speaking, Problem Solving, Programming, Data Analysis,Null,New York,Senior,History,3.68,German, Japanese, English, Chinese, French,Renewable Energy,71.0
104,Laura Gamble,Psychology,Debate Club,Leadership, Programming, Data Analysis, Problem Solving, Public Speaking,Los Angeles,Junior,Mathematics,3.57,French, Japanese, Spanish, German, English,Nanotechnology,61.0
105,Jennifer Lynch,History,Coding Club,Leadership, Artistic, Programming, Data Analysis,Null,San Francisco,Sophomore,Biology,3.87,Japanese, English, Spanish, Chinese, French,Educational Technology,93.0
106,James Lewis,Biology,Volunteer Group,Data Analysis, Programming, Public Speaking, Artistic, Problem Solving,Chicago,Sophomore,Psychology,2.17,English, German, Chinese,Null,Null,Robotics,12.0
107,Jose Sanchez,Computer Science,Coding Club,Leadership, Artistic, Problem Solving, Public Speaking,Null,Houston,Sophomore,Biology,2.64,French, Spanish, Chinese, German,Null,Climate Change,19.0
108,Heather Goodman,Computer Science,Music Club,Programming, Data Analysis, Public Speaking, Problem Solving, Artistic,New York,Junior,Psychology,3.69,Spanish, English, French, Chinese,Null,Environmental Sustainability,71.0
109,Sandra Davis,Mathematics,Volunteer Group,Data Analysis, Public Speaking, Problem Solving, Artistic,Null,New York,Graduate,Physics,3.78,Japanese, German, French, English, Chinese,Quantum Computing,83.0
110,Eric Garcia,Psychology,Debate Club,Programming, Leadership,Null,Null,Null,San Francisco,Freshman,Physics,2.97,Spanish, English, Chinese,Null,Null,Human-Computer Interaction,19.0
111,Larry Castillo,Psychology,Music Club,Public Speaking, Artistic, Leadership,Null,Null,Los Angeles,Senior,Computer Science,3.64,Spanish, German, Japanese,Null,Null,Educational Technology,72.0
112,Kayla Hernandez,Physics,Debate Club,Artistic,Null,Null,Null,Null,Los Angeles,Junior,Physics,2.98,Japanese,Null,Null,Null,Null,Cybersecurity,14.0
113,Dakota Bridges,Psychology,Volunteer Group,Data Analysis, Programming,Null,Null,Null,Boston,Sophomore,History,3.56,Spanish,Null,Null,Null,Null,Urban Planning,63.0
114,Paige Frazier,Biology,Debate Club,Programming, Artistic, Data Analysis,Null,Null,Chicago,Sophomore,Mathematics,3.69,Spanish, Chinese, English,Null,Null,Environmental Sustainability,71.0
115,Renee Miller,Biology,Coding Club,Problem Solving,Null,Null,Null,Null,New York,Freshman,Mathematics,2.69,German, Japanese,Null,Null,Null,Political Science,0.0
116,Dylan Prince,Mathematics,Coding Club,Programming, Problem Solving, Data Analysis, Leadership, Public Speaking,Boston,Sophomore,History,2.57,English, Spanish,Null,Null,Null,Healthcare Management,1.0
117,Jenny Sellers,Psychology,Sports Team,Data Analysis, Leadership, Artistic, Problem Solving, Programming,Boston,Freshman,Physics,2.31,German, English, Japanese, Spanish, French,Space Exploration,0.0
118,Jeff Ortiz,Computer Science,Volunteer Group,Public Speaking, Problem Solving, Leadership,Null,Null,San Francisco,Sophomore,Biology,2.43,Chinese, Spanish, Japanese,Null,Null,Renewable Energy,12.0
119,Steven Zamora,Mathematics,Sports Team,Artistic,Null,Null,Null,Null,San Francisco,Junior,Computer Science,2.34,Japanese, Spanish, Chinese, English,Null,Educational Technology,8.0
120,Gregory Thornton,Computer Science,Volunteer Group,Problem Solving, Programming, Public Speaking, Artistic,Null,New York,Junior,Mathematics,2.75,German, English, Japanese,Null,Null,Climate Change,15.0
121,Monica Short,Mathematics,Art Club,Data Analysis, Programming, Public Speaking, Leadership, Problem Solving,Chicago,Senior,History,2.37,Chinese, English, German, Japanese, Spanish,Climate Change,19.0
122,Brian Jimenez,Physics,Debate Club,Programming, Leadership,Null,Null,Null,Boston,Senior,Physics,2.12,Spanish, English, German,Null,Null,Biomedical Engineering,8.0
123,Rachel Wood,History,Debate Club,Public Speaking, Programming,Null,Null,Null,Chicago,Graduate,Computer Science,2.17,English, Spanish, Chinese, French, German,Astrophysics,4.0
124,Diana Peters,History,Debate Club,Public Speaking, Data Analysis, Leadership, Problem Solving,Null,Los Angeles,Junior,Biology,3.56,Chinese, German,Null,Null,Null,Sustainable Agriculture,61.0
125,Michael Reese,History,Music Club,Public Speaking, Programming, Artistic, Data Analysis, Problem Solving,San Francisco,Senior,Computer Science,2.47,Japanese, French,Null,Null,Null,Data Science,20.0
126,Beth Thomas,History,Volunteer Group,Artistic, Problem Solving,Null,Null,Null,Houston,Sophomore,Biology,3.5,German, English, Spanish, French, Chinese,Robotics,59.0
127,Mary Hurst,Biology,Volunteer Group,Artistic, Leadership,Null,Null,Null,Los Angeles,Junior,Biology,3.79,Spanish, French, Japanese, German,Null,Blockchain Technology,85.0
128,Bryan Oneal,Physics,Debate Club,Programming, Problem Solving,Null,Null,Null,Boston,Sophomore,History,3.02,German, Spanish, English, Japanese,Null,Nanotechnology,35.0
129,Brooke Lewis,Biology,Debate Club,Public Speaking,Null,Null,Null,Null,Houston,Freshman,Computer Science,3.75,French, Chinese, Spanish,Null,Null,Human-Computer Interaction,81.0
130,Jenna Goodwin,Biology,Art Club,Problem Solving, Artistic, Public Speaking, Data Analysis, Leadership,San Francisco,Senior,Physics,3.53,German, English, French,Null,Null,Space Exploration,58.0
131,Kyle Vaughn,Biology,Music Club,Public Speaking, Programming, Problem Solving, Artistic,Null,Houston,Sophomore,Psychology,2.66,French, Spanish,Null,Null,Null,Data Science,4.0
132,Mary Stephens,Psychology,Sports Team,Data Analysis, Artistic,Null,Null,Null,San Francisco,Sophomore,Computer Science,2.22,Chinese,Null,Null,Null,Null,Nanotechnology,6.0
133,Ryan Miller,History,Debate Club,Leadership, Problem Solving, Artistic, Public Speaking,Null,Chicago,Senior,History,2.38,Chinese, Spanish, German, English, Japanese,Educational Technology,2.0
134,Robert Morgan,Mathematics,Volunteer Group,Public Speaking, Problem Solving, Artistic, Programming,Null,Los Angeles,Freshman,Mathematics,3.13,Spanish, Chinese, French, English, Japanese,Social Sciences,28.0
135,Patricia Martinez,Psychology,Music Club,Problem Solving, Leadership, Artistic, Data Analysis, Public Speaking,Houston,Graduate,Physics,3.35,French, German, Spanish, Japanese, English,Nanotechnology,54.0
136,Melissa Rodriguez,Biology,Debate Club,Public Speaking, Artistic, Leadership,Null,Null,San Francisco,Sophomore,Physics,2.33,Japanese, Chinese, French, English,Null,Data Science,10.0
137,Tracy Williams,Biology,Volunteer Group,Data Analysis,Null,Null,Null,Null,New York,Freshman,Computer Science,2.99,German, English, Japanese, Spanish, Chinese,Educational Technology,24.0
138,Brian Brooks,Biology,Sports Team,Leadership, Problem Solving,Null,Null,Null,Houston,Freshman,Biology,2.51,English, French, German, Chinese, Spanish,Nanotechnology,11.0
139,Angela Sanchez,History,Volunteer Group,Leadership, Public Speaking, Data Analysis, Problem Solving, Programming,Los Angeles,Freshman,Computer Science,3.04,Chinese,Null,Null,Null,Null,Robotics,39.0
140,Ricardo Moore,Mathematics,Debate Club,Programming, Data Analysis, Problem Solving, Leadership, Public Speaking,New York,Senior,History,2.91,English, Chinese, Spanish, German,Null,Astrophysics,19.0
141,Ryan Holt,Physics,Coding Club,Programming, Public Speaking, Artistic, Leadership, Data Analysis,New York,Graduate,Physics,2.65,German, Chinese, English, Japanese,Null,Robotics,8.0
142,Jacqueline Dorsey,Computer Science,Art Club,Leadership, Artistic,Null,Null,Null,Chicago,Junior,Psychology,2.47,English, French, German,Null,Null,Climate Change,1.0
143,Kenneth Edwards,Computer Science,Art Club,Artistic, Problem Solving, Data Analysis, Programming,Null,Chicago,Freshman,Psychology,2.82,Japanese, German, English, Chinese, Spanish,Sustainable Agriculture,22.0
144,Amy Martin,Biology,Art Club,Artistic, Problem Solving, Leadership, Data Analysis, Programming,Los Angeles,Senior,Biology,3.26,French, English, Spanish,Null,Null,Cognitive Psychology,49.0
145,Stacy Anthony,Psychology,Art Club,Programming, Artistic, Leadership, Data Analysis,Null,San Francisco,Graduate,Physics,3.08,English, Spanish, German,Null,Null,Nanotechnology,34.0
146,Hannah Arroyo,Biology,Sports Team,Data Analysis, Leadership, Programming, Artistic,Null,Los Angeles,Junior,Computer Science,2.82,Chinese,Null,Null,Null,Null,Astrophysics,10.0
147,Tina Scott,History,Sports Team,Leadership,Null,Null,Null,Null,Los Angeles,Sophomore,Computer Science,3.97,Spanish, English, German, Chinese, French,Cognitive Psychology,97.0
148,Erik Kelly,Physics,Music Club,Public Speaking, Problem Solving, Programming, Artistic, Data Analysis,Chicago,Junior,Mathematics,3.61,Japanese, Spanish, German, French,Null,Machine Learning,82.0
149,John Marshall,Physics,Sports Team,Public Speaking, Data Analysis,Null,Null,Null,Boston,Freshman,Mathematics,2.07,Chinese, German, French, Spanish, English,Cognitive Psychology,2.0
