StudentID,Name,AcademicInterest,ExtracurricularActivities,Skillset1,Skillset2,Skillset3,Skillset4,Skillset5,Location,YearOfStudy,Major,GPA,Language1,Language2,Language3,Language4,Language5,ResearchInterests,Attendance,SkillCount,LanguageCount,CompositeScore
11,Dawn Klein,Psychology,Sports Team,Programming,Leadership,Artistic,Data Analysis,Unknown,New York,Freshman,Psychology,3.02,German,English,Spanish,French,Unknown,Social Sciences,0.3,4,4,1.66
12,Laura Cook,Mathematics,Coding Club,Public Speaking,Programming,Problem Solving,Leadership,Unknown,San Francisco,Freshman,Biology,3.96,German,Unknown,Unknown,Unknown,Unknown,Quantum Computing,0.9,4,1,2.43
13,Olivia Marquez,Physics,Music Club,Programming,Artistic,Problem Solving,Unknown,Unknown,New York,Junior,Mathematics,2.98,English,Japanese,Chinese,Spanish,German,Machine Learning,0.19,3,5,1.59
14,Matthew Jensen,History,Sports Team,Artistic,Problem Solving,Programming,Unknown,Unknown,Boston,Freshman,Biology,2.48,Japanese,Unknown,Unknown,Unknown,Unknown,Cognitive Psychology,0.01,3,1,1.24
15,Hector Kirk,History,Music Club,Artistic,Problem Solving,Public Speaking,Data Analysis,Unknown,Chicago,Senior,Computer Science,2.54,German,Unknown,Unknown,Unknown,Unknown,Biomedical Engineering,0.12,4,1,1.33
16,Robert Waters,Mathematics,Debate Club,Artistic,Programming,Leadership,Unknown,Unknown,Chicago,Freshman,Computer Science,2.5,English,Unknown,Unknown,Unknown,Unknown,Cognitive Psychology,0.04,3,1,1.27
17,Donna Morales,Computer Science,Music Club,Data Analysis,Programming,Problem Solving,Public Speaking,Leadership,New York,Junior,Physics,3,Chinese,Japanese,English,Unknown,Unknown,Robotics,0.21,5,3,1.61
18,Alejandro Roberts,Biology,Volunteer Group,Data Analysis,Problem Solving,Public Speaking,Unknown,Unknown,Los Angeles,Sophomore,Computer Science,3.91,Japanese,Unknown,Unknown,Unknown,Unknown,Space Exploration,0.92,3,1,2.42
19,Heather Sandoval,Physics,Coding Club,Programming,Artistic,Public Speaking,Data Analysis,Leadership,New York,Freshman,Biology,2.44,English,German,Unknown,Unknown,Unknown,Blockchain Technology,0.13,5,2,1.29
20,Alison Castro,Physics,Debate Club,Public Speaking,Leadership,Artistic,Data Analysis,Problem Solving,Chicago,Sophomore,History,3.64,Chinese,German,Spanish,English,French,Machine Learning,0.76,5,5,2.2
21,Gary Vang,Physics,Coding Club,Programming,Public Speaking,Data Analysis,Leadership,Problem Solving,Chicago,Freshman,Mathematics,2.36,German,Chinese,French,Unknown,Unknown,Environmental Sustainability,0.15,5,3,1.26
22,Brandon Hamilton,Biology,Sports Team,Problem Solving,Data Analysis,Leadership,Artistic,Unknown,San Francisco,Junior,Psychology,3.8,Spanish,English,Unknown,Unknown,Unknown,Astrophysics,0.83,4,2,2.32
23,Jacob Smith,Psychology,Volunteer Group,Artistic,Leadership,Data Analysis,Problem Solving,Public Speaking,Los Angeles,Graduate,Mathematics,3.81,Chinese,English,German,French,Japanese,Educational Technology,0.92,5,5,2.37
24,Brandon Williams,Computer Science,Music Club,Public Speaking,Data Analysis,Artistic,Unknown,Unknown,Houston,Sophomore,Physics,3.12,Chinese,English,Japanese,French,Spanish,Climate Change,0.27,3,5,1.7
25,John Adkins,Physics,Coding Club,Data Analysis,Problem Solving,Artistic,Public Speaking,Leadership,Boston,Junior,Physics,2.79,English,Spanish,Japanese,French,Chinese,Environmental Sustainability,0.17,5,5,1.48
26,David Alvarez,Physics,Debate Club,Artistic,Problem Solving,Leadership,Programming,Data Analysis,San Francisco,Junior,Physics,2.77,Japanese,Chinese,Spanish,Unknown,Unknown,Data Science,0.02,5,3,1.4
27,Stephanie Cummings,Computer Science,Sports Team,Problem Solving,Artistic,Data Analysis,Programming,Leadership,Boston,Senior,History,3.42,English,Unknown,Unknown,Unknown,Unknown,Quantum Computing,0.63,5,1,2.03
28,Natalie Garcia,History,Volunteer Group,Programming,Data Analysis,Unknown,Unknown,Unknown,Chicago,Graduate,Biology,3.27,Spanish,Unknown,Unknown,Unknown,Unknown,Machine Learning,0.45,2,1,1.86
29,Neil Smith,Biology,Art Club,Data Analysis,Leadership,Unknown,Unknown,Unknown,Los Angeles,Junior,Psychology,2.91,Chinese,Unknown,Unknown,Unknown,Unknown,Data Science,0.08,2,1,1.5
30,Laura Peterson,Physics,Music Club,Data Analysis,Public Speaking,Unknown,Unknown,Unknown,Los Angeles,Senior,History,2.96,Chinese,Japanese,French,English,Spanish,Artificial Intelligence,0.04,2,5,1.5
31,Amber Rodriguez,Mathematics,Debate Club,Artistic,Programming,Public Speaking,Problem Solving,Data Analysis,San Francisco,Sophomore,Biology,2.26,English,Chinese,Spanish,Unknown,Unknown,Renewable Energy,0.18,5,3,1.22
32,Vanessa Torres,Mathematics,Volunteer Group,Problem Solving,Programming,Leadership,Data Analysis,Public Speaking,Boston,Graduate,Computer Science,3.01,Chinese,French,Spanish,Unknown,Unknown,Data Science,0.31,5,3,1.66
33,Crystal Joseph,Biology,Debate Club,Public Speaking,Programming,Unknown,Unknown,Unknown,Chicago,Senior,Computer Science,2.83,German,Japanese,Chinese,French,Unknown,Nanotechnology,0.19,2,4,1.51
34,Sandra Lopez,Psychology,Volunteer Group,Data Analysis,Programming,Public Speaking,Unknown,Unknown,New York,Sophomore,History,2.19,English,German,Unknown,Unknown,Unknown,Human-Computer Interaction,0.08,3,2,1.14
35,Michael Mendez,Biology,Art Club,Data Analysis,Unknown,Unknown,Unknown,Unknown,Boston,Junior,Physics,3.1,German,English,Spanish,French,Chinese,Behavioral Economics,0.31,1,5,1.71
36,Roy Clark,Mathematics,Music Club,Leadership,Programming,Problem Solving,Unknown,Unknown,Boston,Senior,Psychology,3.12,Spanish,German,Japanese,English,French,Quantum Computing,0.38,3,5,1.75
37,Ryan Martin,History,Sports Team,Data Analysis,Public Speaking,Programming,Artistic,Problem Solving,New York,Sophomore,History,3.46,German,Chinese,English,French,Unknown,Healthcare Management,0.7,5,4,2.08
38,Mark Tyler,Physics,Volunteer Group,Artistic,Public Speaking,Data Analysis,Leadership,Programming,Houston,Sophomore,Computer Science,3.67,German,Unknown,Unknown,Unknown,Unknown,Robotics,0.71,5,1,2.19
39,Wendy Smith,Computer Science,Sports Team,Programming,Public Speaking,Data Analysis,Problem Solving,Unknown,Los Angeles,Freshman,Mathematics,3.24,German,Unknown,Unknown,Unknown,Unknown,Quantum Computing,0.49,4,1,1.87
40,Anthony Schultz,Computer Science,Coding Club,Data Analysis,Leadership,Programming,Unknown,Unknown,Boston,Senior,Mathematics,2.51,English,Spanish,Unknown,Unknown,Unknown,Machine Learning,0.08,3,2,1.3
41,John Nguyen,Computer Science,Music Club,Programming,Artistic,Public Speaking,Leadership,Unknown,Boston,Senior,Psychology,2.42,English,Chinese,Spanish,French,Japanese,Quantum Computing,0.17,4,5,1.3
42,Annette Lynn,Physics,Art Club,Data Analysis,Leadership,Programming,Public Speaking,Problem Solving,Houston,Freshman,Mathematics,2.65,German,Unknown,Unknown,Unknown,Unknown,Behavioral Economics,0.15,5,1,1.4
43,Connie Bishop,History,Sports Team,Problem Solving,Data Analysis,Public Speaking,Programming,Artistic,Houston,Sophomore,Mathematics,3.77,Chinese,Spanish,English,Unknown,Unknown,Astrophysics,0.81,5,3,2.29
44,Natasha Rodriguez,Computer Science,Volunteer Group,Data Analysis,Artistic,Leadership,Programming,Problem Solving,Los Angeles,Freshman,Psychology,2.72,Spanish,Chinese,Japanese,Unknown,Unknown,Educational Technology,0.16,5,3,1.44
45,Haley Rodriguez,Biology,Sports Team,Problem Solving,Unknown,Unknown,Unknown,Unknown,Houston,Freshman,History,3.68,French,English,Unknown,Unknown,Unknown,Climate Change,0.74,1,2,2.21
46,Manuel Mcdonald,Computer Science,Sports Team,Artistic,Unknown,Unknown,Unknown,Unknown,Boston,Junior,Mathematics,3.12,German,Unknown,Unknown,Unknown,Unknown,Urban Planning,0.28,1,1,1.7
47,Autumn Mullen,Biology,Sports Team,Artistic,Data Analysis,Programming,Problem Solving,Leadership,Los Angeles,Sophomore,Biology,2.9,German,English,Unknown,Unknown,Unknown,Nanotechnology,0.25,5,2,1.58
48,Daniel Taylor,Physics,Music Club,Artistic,Programming,Problem Solving,Unknown,Unknown,San Francisco,Sophomore,History,2.11,German,Japanese,Unknown,Unknown,Unknown,Political Science,0.09,3,2,1.1
49,Miranda Reynolds,History,Music Club,Leadership,Public Speaking,Programming,Data Analysis,Artistic,Boston,Freshman,Psychology,3.99,English,German,Chinese,Spanish,Japanese,Space Exploration,0.89,5,5,2.44
50,Janice Mcmillan,Psychology,Sports Team,Leadership,Public Speaking,Unknown,Unknown,Unknown,Chicago,Senior,History,2.64,Spanish,French,Japanese,German,Unknown,Social Sciences,0.13,2,4,1.39
51,Andrew Scott,Computer Science,Debate Club,Data Analysis,Artistic,Leadership,Public Speaking,Problem Solving,Chicago,Senior,Computer Science,2.17,Spanish,English,French,Japanese,German,Human-Computer Interaction,0.13,5,5,1.15
52,Guy Torres,History,Sports Team,Public Speaking,Unknown,Unknown,Unknown,Unknown,Chicago,Graduate,Mathematics,2.11,French,English,Chinese,Japanese,German,Cybersecurity,0.01,1,5,1.06
53,Thomas Walton,Biology,Sports Team,Public Speaking,Leadership,Programming,Data Analysis,Unknown,New York,Senior,Mathematics,2.26,Japanese,Chinese,Unknown,Unknown,Unknown,Astrophysics,0.19,4,2,1.22
54,Mark Davis,Computer Science,Sports Team,Programming,Public Speaking,Unknown,Unknown,Unknown,Los Angeles,Senior,Biology,2.13,French,Japanese,German,Unknown,Unknown,Educational Technology,0.13,2,3,1.13
55,Hannah Merritt,History,Music Club,Artistic,Problem Solving,Leadership,Programming,Data Analysis,Chicago,Senior,Computer Science,3.75,English,German,Spanish,Japanese,Unknown,Bioinformatics,0.75,5,4,2.25
56,Debra Perry,History,Music Club,Leadership,Programming,Artistic,Public Speaking,Unknown,Chicago,Graduate,Mathematics,3.55,French,German,Unknown,Unknown,Unknown,Human-Computer Interaction,0.6,4,2,2.07
57,Michelle Bailey,Biology,Sports Team,Problem Solving,Artistic,Programming,Leadership,Public Speaking,Los Angeles,Junior,Mathematics,2.44,English,Japanese,Spanish,Unknown,Unknown,Nanotechnology,0.18,5,3,1.31
58,David Walker,Psychology,Volunteer Group,Artistic,Leadership,Unknown,Unknown,Unknown,Los Angeles,Senior,History,3.23,Japanese,Spanish,English,French,Unknown,Space Exploration,0.46,2,4,1.85
59,Pamela Jenkins,Physics,Art Club,Problem Solving,Leadership,Artistic,Programming,Public Speaking,Houston,Senior,Psychology,3.74,German,Chinese,English,Unknown,Unknown,Natural Language Processing,0.75,5,3,2.25
60,Sherri Bush,Psychology,Sports Team,Leadership,Public Speaking,Programming,Unknown,Unknown,Chicago,Junior,Biology,2.42,Japanese,Unknown,Unknown,Unknown,Unknown,Social Sciences,0.12,3,1,1.27
61,David Hull,Computer Science,Sports Team,Data Analysis,Unknown,Unknown,Unknown,Unknown,Houston,Freshman,Physics,3.62,French,Chinese,German,English,Unknown,Machine Learning,0.83,1,4,2.23
62,Breanna Smith,Biology,Volunteer Group,Public Speaking,Programming,Leadership,Problem Solving,Artistic,Houston,Junior,History,2.83,Spanish,Unknown,Unknown,Unknown,Unknown,Blockchain Technology,0.01,5,1,1.42
63,Charles Hunter,History,Sports Team,Leadership,Artistic,Data Analysis,Unknown,Unknown,New York,Junior,Physics,3.63,Spanish,German,Chinese,Japanese,Unknown,Robotics,0.85,3,4,2.24
64,Michael Price,Computer Science,Debate Club,Data Analysis,Artistic,Leadership,Programming,Problem Solving,Chicago,Graduate,Computer Science,3.14,Japanese,French,German,Chinese,English,Cognitive Psychology,0.3,5,5,1.72
65,Scott Adams,Computer Science,Music Club,Programming,Unknown,Unknown,Unknown,Unknown,New York,Senior,Psychology,3.82,Chinese,Japanese,German,English,Unknown,Educational Technology,0.92,1,4,2.37
66,Logan Greene,History,Debate Club,Artistic,Problem Solving,Public Speaking,Programming,Unknown,New York,Sophomore,Psychology,2.91,Chinese,German,Unknown,Unknown,Unknown,Political Science,0.03,4,2,1.47
67,James Walker,Psychology,Coding Club,Programming,Data Analysis,Unknown,Unknown,Unknown,New York,Sophomore,Biology,2.34,Spanish,English,French,Chinese,German,Machine Learning,0.19,2,5,1.27
68,Charles Thomas,History,Art Club,Programming,Unknown,Unknown,Unknown,Unknown,Los Angeles,Graduate,Psychology,3.43,German,Spanish,French,Japanese,English,Behavioral Economics,0.63,1,5,2.03
69,James Martin,Mathematics,Coding Club,Problem Solving,Leadership,Public Speaking,Unknown,Unknown,Chicago,Freshman,Physics,2.53,Spanish,German,English,Unknown,Unknown,Bioinformatics,0.08,3,3,1.31
70,Melissa Gutierrez,Psychology,Music Club,Programming,Public Speaking,Leadership,Data Analysis,Problem Solving,Chicago,Freshman,History,3.31,German,French,English,Japanese,Spanish,Space Exploration,0.51,5,5,1.91
71,Benjamin Richardson,Computer Science,Volunteer Group,Data Analysis,Programming,Problem Solving,Leadership,Public Speaking,Chicago,Sophomore,Biology,2.71,Chinese,Japanese,French,English,Spanish,Machine Learning,0.11,5,5,1.41
72,Paige Martin,Physics,Volunteer Group,Programming,Unknown,Unknown,Unknown,Unknown,Chicago,Sophomore,Biology,3.56,English,Unknown,Unknown,Unknown,Unknown,Behavioral Economics,0.65,1,1,2.11
73,Stacy Hardin,Computer Science,Coding Club,Leadership,Data Analysis,Problem Solving,Programming,Public Speaking,Boston,Graduate,Physics,2.42,Japanese,French,Unknown,Unknown,Unknown,Urban Planning,0.05,5,2,1.23
74,Dawn Smith,Biology,Volunteer Group,Artistic,Unknown,Unknown,Unknown,Unknown,Houston,Freshman,Computer Science,3.68,French,German,Japanese,Unknown,Unknown,Biomedical Engineering,0.78,1,3,2.23
75,Marc Guzman,History,Music Club,Data Analysis,Problem Solving,Artistic,Programming,Leadership,New York,Senior,Psychology,2.88,French,Japanese,Unknown,Unknown,Unknown,Machine Learning,0.14,5,2,1.51
76,Catherine Parrish,Biology,Debate Club,Artistic,Programming,Leadership,Data Analysis,Public Speaking,Los Angeles,Senior,History,3.9,Chinese,Unknown,Unknown,Unknown,Unknown,Artificial Intelligence,0.97,5,1,2.44
77,Patricia Montes,Mathematics,Debate Club,Problem Solving,Programming,Artistic,Unknown,Unknown,San Francisco,Senior,Physics,2.65,Spanish,German,French,Japanese,English,Cognitive Psychology,0.2,3,5,1.43
78,Priscilla Sutton,Computer Science,Debate Club,Leadership,Public Speaking,Data Analysis,Unknown,Unknown,Houston,Junior,Mathematics,3.62,French,English,Spanish,Chinese,German,Quantum Computing,0.71,3,5,2.17
79,Molly Johnson,Psychology,Volunteer Group,Artistic,Public Speaking,Data Analysis,Programming,Leadership,Houston,Junior,Mathematics,3.16,German,Chinese,Unknown,Unknown,Unknown,Educational Technology,0.35,5,2,1.76
80,Carol Estrada,Mathematics,Sports Team,Programming,Unknown,Unknown,Unknown,Unknown,Chicago,Senior,Psychology,2.88,French,English,Spanish,German,Unknown,Quantum Computing,0.03,1,4,1.45
81,Tyler Jordan,Biology,Volunteer Group,Data Analysis,Programming,Problem Solving,Unknown,Unknown,Los Angeles,Junior,History,2.94,French,Chinese,English,Japanese,Unknown,Educational Technology,0.09,3,4,1.52
82,Jason Pierce,Psychology,Art Club,Programming,Data Analysis,Problem Solving,Artistic,Unknown,San Francisco,Senior,Mathematics,3.15,German,French,Spanish,Chinese,Unknown,Robotics,0.34,4,4,1.74
83,Susan Johnson,Physics,Art Club,Artistic,Leadership,Data Analysis,Unknown,Unknown,Los Angeles,Senior,Computer Science,2.69,Spanish,Japanese,French,Unknown,Unknown,Artificial Intelligence,0.01,3,3,1.35
84,Bradley King,Biology,Debate Club,Leadership,Problem Solving,Programming,Public Speaking,Unknown,San Francisco,Freshman,Physics,2.25,English,Unknown,Unknown,Unknown,Unknown,Artificial Intelligence,0.03,4,1,1.14
85,James Daniels,Psychology,Coding Club,Artistic,Programming,Leadership,Public Speaking,Unknown,Houston,Senior,Biology,2.14,Japanese,Chinese,Unknown,Unknown,Unknown,Urban Planning,0.24,4,2,1.19
86,Jessica Riley,History,Debate Club,Artistic,Data Analysis,Public Speaking,Unknown,Unknown,Boston,Junior,History,3.69,French,English,Chinese,German,Unknown,Artificial Intelligence,0.76,3,4,2.23
87,Jacqueline Burke,Psychology,Art Club,Data Analysis,Leadership,Programming,Problem Solving,Public Speaking,Boston,Junior,Mathematics,2.11,German,Chinese,Spanish,Unknown,Unknown,Social Sciences,0.15,5,3,1.13
88,Kyle Wong,Biology,Art Club,Programming,Data Analysis,Unknown,Unknown,Unknown,New York,Graduate,Computer Science,3,German,Japanese,French,Spanish,English,Human-Computer Interaction,0.03,2,5,1.52
89,Joanne Bradley,History,Art Club,Artistic,Data Analysis,Unknown,Unknown,Unknown,Chicago,Freshman,Mathematics,2.58,English,French,Chinese,Unknown,Unknown,Data Science,0.07,2,3,1.33
90,Amanda Patton,Physics,Music Club,Programming,Leadership,Public Speaking,Artistic,Problem Solving,Los Angeles,Senior,Psychology,3.73,French,Japanese,English,German,Spanish,Sustainable Agriculture,0.71,5,5,2.22
91,Joshua Jacobs,Psychology,Volunteer Group,Artistic,Leadership,Programming,Problem Solving,Unknown,Los Angeles,Senior,Computer Science,3.27,Spanish,German,Chinese,English,Japanese,Blockchain Technology,0.54,4,5,1.91
92,Robert Singh,Biology,Music Club,Problem Solving,Leadership,Artistic,Public Speaking,Data Analysis,Boston,Senior,Physics,3.71,German,Unknown,Unknown,Unknown,Unknown,Bioinformatics,0.76,5,1,2.24
93,Lindsay Smith,Physics,Art Club,Data Analysis,Unknown,Unknown,Unknown,Unknown,Boston,Senior,Mathematics,2.03,French,Chinese,Unknown,Unknown,Unknown,Sustainable Agriculture,0.19,1,2,1.11
94,Kara Martin,History,Sports Team,Leadership,Unknown,Unknown,Unknown,Unknown,San Francisco,Sophomore,Computer Science,2.15,English,Chinese,German,Japanese,French,Bioinformatics,0.11,1,5,1.13
95,Amy Thompson,Psychology,Volunteer Group,Programming,Leadership,Problem Solving,Data Analysis,Unknown,New York,Senior,Physics,3.04,German,French,Chinese,Japanese,English,Biomedical Engineering,0.31,4,5,1.68
96,Bradley Moore,Computer Science,Art Club,Data Analysis,Unknown,Unknown,Unknown,Unknown,Chicago,Sophomore,History,2.8,English,Japanese,Chinese,Unknown,Unknown,Climate Change,0.21,1,3,1.51
97,Jenna Knox,History,Music Club,Artistic,Data Analysis,Unknown,Unknown,Unknown,San Francisco,Junior,Biology,2.66,English,French,Japanese,German,Chinese,Renewable Energy,0.15,2,5,1.41
98,Jose Meyer,Mathematics,Coding Club,Data Analysis,Unknown,Unknown,Unknown,Unknown,San Francisco,Senior,Biology,2.25,Chinese,Spanish,Unknown,Unknown,Unknown,Quantum Computing,0.03,1,2,1.14
99,Nicholas Johnson,History,Debate Club,Leadership,Programming,Data Analysis,Public Speaking,Artistic,Chicago,Senior,History,2.94,Chinese,Spanish,German,Unknown,Unknown,Renewable Energy,0.09,5,3,1.52
100,William Ramos,Physics,Music Club,Public Speaking,Leadership,Artistic,Programming,Problem Solving,San Francisco,Senior,Psychology,2.67,Spanish,French,Chinese,Unknown,Unknown,Biomedical Engineering,0.15,5,3,1.41
101,Kathleen Combs,Biology,Coding Club,Data Analysis,Problem Solving,Artistic,Programming,Public Speaking,New York,Sophomore,Biology,3.98,English,Chinese,French,Unknown,Unknown,Sustainable Agriculture,0.89,5,3,2.44
102,Megan Hernandez,Physics,Music Club,Leadership,Programming,Data Analysis,Public Speaking,Unknown,San Francisco,Sophomore,Biology,3.52,German,French,Japanese,Unknown,Unknown,Social Sciences,0.59,4,3,2.06
103,Patricia Carrillo,Biology,Debate Club,Public Speaking,Problem Solving,Programming,Data Analysis,Unknown,New York,Senior,History,3.68,German,Japanese,English,Chinese,French,Renewable Energy,0.71,4,5,2.2
104,Laura Gamble,Psychology,Debate Club,Leadership,Programming,Data Analysis,Problem Solving,Public Speaking,Los Angeles,Junior,Mathematics,3.57,French,Japanese,Spanish,German,English,Nanotechnology,0.61,5,5,2.09
105,Jennifer Lynch,History,Coding Club,Leadership,Artistic,Programming,Data Analysis,Unknown,San Francisco,Sophomore,Biology,3.87,Japanese,English,Spanish,Chinese,French,Educational Technology,0.93,4,5,2.4
106,James Lewis,Biology,Volunteer Group,Data Analysis,Programming,Public Speaking,Artistic,Problem Solving,Chicago,Sophomore,Psychology,2.17,English,German,Chinese,Unknown,Unknown,Robotics,0.12,5,3,1.15
107,Jose Sanchez,Computer Science,Coding Club,Leadership,Artistic,Problem Solving,Public Speaking,Unknown,Houston,Sophomore,Biology,2.64,French,Spanish,Chinese,German,Unknown,Climate Change,0.19,4,4,1.42
108,Heather Goodman,Computer Science,Music Club,Programming,Data Analysis,Public Speaking,Problem Solving,Artistic,New York,Junior,Psychology,3.69,Spanish,English,French,Chinese,Unknown,Environmental Sustainability,0.71,5,4,2.2
109,Sandra Davis,Mathematics,Volunteer Group,Data Analysis,Public Speaking,Problem Solving,Artistic,Unknown,New York,Graduate,Physics,3.78,Japanese,German,French,English,Chinese,Quantum Computing,0.83,4,5,2.3
110,Eric Garcia,Psychology,Debate Club,Programming,Leadership,Unknown,Unknown,Unknown,San Francisco,Freshman,Physics,2.97,Spanish,English,Chinese,Unknown,Unknown,Human-Computer Interaction,0.19,2,3,1.58
111,Larry Castillo,Psychology,Music Club,Public Speaking,Artistic,Leadership,Unknown,Unknown,Los Angeles,Senior,Computer Science,3.64,Spanish,German,Japanese,Unknown,Unknown,Educational Technology,0.72,3,3,2.18
112,Kayla Hernandez,Physics,Debate Club,Artistic,Unknown,Unknown,Unknown,Unknown,Los Angeles,Junior,Physics,2.98,Japanese,Unknown,Unknown,Unknown,Unknown,Cybersecurity,0.14,1,1,1.56
113,Dakota Bridges,Psychology,Volunteer Group,Data Analysis,Programming,Unknown,Unknown,Unknown,Boston,Sophomore,History,3.56,Spanish,Unknown,Unknown,Unknown,Unknown,Urban Planning,0.63,2,1,2.1
114,Paige Frazier,Biology,Debate Club,Programming,Artistic,Data Analysis,Unknown,Unknown,Chicago,Sophomore,Mathematics,3.69,Spanish,Chinese,English,Unknown,Unknown,Environmental Sustainability,0.71,3,3,2.2
115,Renee Miller,Biology,Coding Club,Problem Solving,Unknown,Unknown,Unknown,Unknown,New York,Freshman,Mathematics,2.69,German,Japanese,Unknown,Unknown,Unknown,Political Science,0,1,2,1.35
116,Dylan Prince,Mathematics,Coding Club,Programming,Problem Solving,Data Analysis,Leadership,Public Speaking,Boston,Sophomore,History,2.57,English,Spanish,Unknown,Unknown,Unknown,Healthcare Management,0.01,5,2,1.29
117,Jenny Sellers,Psychology,Sports Team,Data Analysis,Leadership,Artistic,Problem Solving,Programming,Boston,Freshman,Physics,2.31,German,English,Japanese,Spanish,French,Space Exploration,0,5,5,1.16
118,Jeff Ortiz,Computer Science,Volunteer Group,Public Speaking,Problem Solving,Leadership,Unknown,Unknown,San Francisco,Sophomore,Biology,2.43,Chinese,Spanish,Japanese,Unknown,Unknown,Renewable Energy,0.12,3,3,1.28
119,Steven Zamora,Mathematics,Sports Team,Artistic,Unknown,Unknown,Unknown,Unknown,San Francisco,Junior,Computer Science,2.34,Japanese,Spanish,Chinese,English,Unknown,Educational Technology,0.08,1,4,1.21
120,Gregory Thornton,Computer Science,Volunteer Group,Problem Solving,Programming,Public Speaking,Artistic,Unknown,New York,Junior,Mathematics,2.75,German,English,Japanese,Unknown,Unknown,Climate Change,0.15,4,3,1.45
121,Monica Short,Mathematics,Art Club,Data Analysis,Programming,Public Speaking,Leadership,Problem Solving,Chicago,Senior,History,2.37,Chinese,English,German,Japanese,Spanish,Climate Change,0.19,5,5,1.28
122,Brian Jimenez,Physics,Debate Club,Programming,Leadership,Unknown,Unknown,Unknown,Boston,Senior,Physics,2.12,Spanish,English,German,Unknown,Unknown,Biomedical Engineering,0.08,2,3,1.1
123,Rachel Wood,History,Debate Club,Public Speaking,Programming,Unknown,Unknown,Unknown,Chicago,Graduate,Computer Science,2.17,English,Spanish,Chinese,French,German,Astrophysics,0.04,2,5,1.11
124,Diana Peters,History,Debate Club,Public Speaking,Data Analysis,Leadership,Problem Solving,Unknown,Los Angeles,Junior,Biology,3.56,Chinese,German,Unknown,Unknown,Unknown,Sustainable Agriculture,0.61,4,2,2.09
125,Michael Reese,History,Music Club,Public Speaking,Programming,Artistic,Data Analysis,Problem Solving,San Francisco,Senior,Computer Science,2.47,Japanese,French,Unknown,Unknown,Unknown,Data Science,0.2,5,2,1.34
126,Beth Thomas,History,Volunteer Group,Artistic,Problem Solving,Unknown,Unknown,Unknown,Houston,Sophomore,Biology,3.5,German,English,Spanish,French,Chinese,Robotics,0.59,2,5,2.05
127,Mary Hurst,Biology,Volunteer Group,Artistic,Leadership,Unknown,Unknown,Unknown,Los Angeles,Junior,Biology,3.79,Spanish,French,Japanese,German,Unknown,Blockchain Technology,0.85,2,4,2.32
128,Bryan Oneal,Physics,Debate Club,Programming,Problem Solving,Unknown,Unknown,Unknown,Boston,Sophomore,History,3.02,German,Spanish,English,Japanese,Unknown,Nanotechnology,0.35,2,4,1.69
129,Brooke Lewis,Biology,Debate Club,Public Speaking,Unknown,Unknown,Unknown,Unknown,Houston,Freshman,Computer Science,3.75,French,Chinese,Spanish,Unknown,Unknown,Human-Computer Interaction,0.81,1,3,2.28
